	0	1	2	3	4
0	6mo0UbyIvIePdXNyLwQlk5	Milow	60	101718	https://i.scdn.co/image/6471588852e03c036994d154d3d7f19c65381498
1	6PAt558ZEZl0DmdXlnjMgD	Eric Clapton	76	2448761	https://i.scdn.co/image/4848283fa07f0846bd312fa9d49dae7ef6da3fff
2	0Nn9YwJzcaeuU1jJL06e3r	The Knack	61	63437	https://i.scdn.co/image/3f5a283dfaf275c565879058920e5ec99f9833b5
3	53KwLdlmrlCelAZMaLVZqU	James Blake	80	777447	https://i.scdn.co/image/998c76d8aea43ee0acd3087285f6480fe28ace79
