	acousticness	analysis_url	danceability	duration_ms	energy	id	instrumentalness	key	liveness	loudness	mode	speechiness	tempo	time_signature	track_href	type	uri	valence
0	0.652	https://api.spotify.com/v1/audio-analysis/1C6LdXwjaCPbTOxO82Qz6v	0.781	212867	0.631	1C6LdXwjaCPbTOxO82Qz6v	0.0	11	0.0979	-7.214	0	0.0365	128.032	4	https://api.spotify.com/v1/tracks/1C6LdXwjaCPbTOxO82Qz6v	audio_features	spotify:track:1C6LdXwjaCPbTOxO82Qz6v	0.801
1	0.8	https://api.spotify.com/v1/audio-analysis/612VcBshQcy4mpB2utGc3H	0.695	280000	0.336	612VcBshQcy4mpB2utGc3H	0.00264	9	0.701	-12.999	1	0.0313	79.109	4	https://api.spotify.com/v1/tracks/612VcBshQcy4mpB2utGc3H	audio_features	spotify:track:612VcBshQcy4mpB2utGc3H	0.422
2	0.0589	https://api.spotify.com/v1/audio-analysis/1HOMkjp0nHMaTnfAkslCQj	0.586	295400	0.7	1HOMkjp0nHMaTnfAkslCQj	0.00125	0	0.0318	-9.558	1	0.0363	147.245	4	https://api.spotify.com/v1/tracks/1HOMkjp0nHMaTnfAkslCQj	audio_features	spotify:track:1HOMkjp0nHMaTnfAkslCQj	0.897
3	0.871	https://api.spotify.com/v1/audio-analysis/2IqjKEBiz0CdLKdkXhxw84	0.289	223600	0.254	2IqjKEBiz0CdLKdkXhxw84	0.0745	7	0.135	-11.218	0	0.0474	77.499	4	https://api.spotify.com/v1/tracks/2IqjKEBiz0CdLKdkXhxw84	audio_features	spotify:track:2IqjKEBiz0CdLKdkXhxw84	0.185
